0:30:15	01.05.2017	t	1
0:27:35	05.05.2017	t	2
0:26:52	10.05.2017	t	3
0:27:38	15.05.2017	t	4
0:27:01	20.05.2017	t	5
0:26:45	01.06.2017	t	6
0:28:36	07.06.2017		7
0:29:47	08.06.2017		8
0:28:49	10.06.2017		9
0:30:04	14.06.2017		10
0:28:05	18.06.2017	t	11
0:26:15	23.06.2017	t	12
0:26:06	24.06.2017		13
0:24:59	30.06.2017	t	14
0:24:38	07.07.2017	t	15
0:30:25	11.07.2017		16
0:28:05	17.07.2017	t	17
0:30:23	18.07.2017		18
0:26:56	19.07.2017	t	19
0:25:11	21.07.2017	t	20
0:28:10	25.07.2017	t	21
0:28:34	26.07.2017		22
0:24:58	27.07.2017	t	23
0:25:36	30.07.2017		24
0:25:06	03.08.2017	t	25
0:24:23	04.08.2017	t	26
0:25:58	07.08.2017	t	27
0:27:53	08.08.2017		28
0:26:17	10.08.2017		29
0:25:16	13.08.2017		30
0:23:58	22.08.2017	t	31
0:24:38	29.08.2017		32
0:30:39	02.09.2017		33
0:27:28	11.09.2017		34
0:24:53	12.09.2017	t	35
0:24:46	15.09.2017	t	36
0:24:02	17.09.2017	t	37
0:23:59	26.09.2017	t	38
0:24:00	01.10.2017	t	39
0:22:39	02.10.2017	t	40
0:22:20	05.10.2017	t	41
0:21:59	14.10.2017	t	42
0:24:50	15.10.2017	t	43
0:24:14	24.10.2017	t	44
0:24:11	29.10.2017	t	45
0:22:00	31.10.2017	t	46
0:21:29	06.11.2017	t	47
0:23:06	13.11.2017	t	48
0:23:13	14.11.2017	t	49
0:21:26	21.11.2017	t	50
0:22:52	25.11.2017	t	51
0:22:55	30.11.2017	t	52
0:22:27	05.12.2017	t	53
0:22:49	06.12.2017	t	54
0:20:38	07.12.2017	t	55
0:22:12	17.12.2017	t	56
0:22:49	21.12.2017	t	57
0:25:06	01.01.2018		58
0:22:27	10.01.2018	t	59
0:22:20	11.01.2018	t	60
0:21:15	14.01.2018	t	61
0:23:19	16.01.2018	t	62
0:22:08	18.01.2018	t	63
0:20:35	21.01.2018	t	64
0:22:15	23.01.2018	t	65
0:24:37	26.01.2018	t	66
0:22:04	30.01.2018	t	67
0:20:13	04.02.2018	t	68
0:21:52	08.02.2018	t	69
0:25:07	13.03.2018	t	70
0:25:51	12.04.2018	t	71
0:29:02	13.04.2018		72
0:24:22	15.04.2018		73
0:24:52	18.04.2018		74
0:25:01	19.04.2018		75
0:24:12	22.04.2018		76
0:23:10	23.04.2018	t	77
0:27:43	28.04.2018		78
0:23:42	30.04.2018	t	79
0:23:37	01.05.2018	t	80
0:25:44	04.05.2018		81
0:23:56	05.05.2018		82
0:27:21	07.05.2018		83
0:27:55	10.05.2018		84
0:25:05	12.05.2018		85
0:24:31	13.05.2018		86
0:23:12	15.05.2018	t	87
0:26:49	16.05.2018		88
0:23:51	18.05.2018		89
0:23:36	19.05.2018		90
0:26:30	20.05.2018		91
0:27:14	21.05.2018		92
0:24:08	22.05.2018		93
0:24:37	23.05.2018		94
0:23:23	25.05.2018		95
0:21:22	27.05.2018	t	96
0:25:10	30.05.2018		97
0:23:59	31.05.2018		98
0:24:52	01.06.2018		99
0:27:39	02.06.2018		100
0:24:25	03.06.2018		101
0:25:22	04.06.2018		102
0:24:11	07.06.2018		103
0:24:54	08.06.2018		104
0:27:36	09.06.2018		105
0:26:53	12.06.2018		106
0:23:51	13.06.2018		107
0:25:58	16.06.2018		108
0:22:03	19.06.2018	t	109
0:22:15	21.06.2018	t	110
0:25:54	22.06.2018		111
0:24:08	27.06.2018		112
0:26:53	28.06.2018		113
0:23:31	01.07.2018		114
0:26:54	02.07.2018		115
0:23:12	07.07.2018		116
0:24:47	12.07.2018		117
0:24:50	14.07.2018		118
0:23:53	17.07.2018		119
0:24:56	18.07.2018		120
0:25:22	20.07.2018		121
0:24:36	25.07.2018		122
0:21:48	29.07.2018	t	123
0:26:56	01.08.2018		124
0:24:12	07.08.2018		125
0:26:54	10.08.2018		126
0:24:05	14.08.2018		127
0:24:06	15.08.2018		128
0:26:55	24.08.2018		129
0:24:08	28.08.2018		130
0:23:34	31.08.2018		131
0:24:53	01.09.2018		132
0:23:35	05.09.2018		133
0:24:21	08.09.2018		134
0:23:20	11.09.2018	s	135
0:24:14	19.09.2018		136
0:20:39	22.09.2018	t	137
0:24:40	23.09.2018		138
0:21:37	27.09.2018	t	139
0:23:10	30.09.2018		140
0:22:28	04.10.2018	t	141
0:23:39	11.10.2018	s	142
0:22:51	18.10.2018	s	143
0:22:34	26.10.2018	t	144
0:24:51	28.10.2018		145
0:24:00	02.11.2018		146
0:23:59	09.11.2018		147
0:21:39	12.11.2018	t	148
0:21:21	14.11.2018	t	149
0:21:57	22.11.2018	t	150
0:21:40	28.11.2018	t	151
0:22:02	05.12.2018	t	152
0:23:37	08.12.2018		153
0:24:50	14.12.2018		154
0:24:39	15.12.2018		155
0:23:53	16.12.2018		156
0:21:25	03.01.2019	t	157
0:24:47	05.01.2019		158
0:21:08	08.01.2019	t	159
0:21:35	10.01.2019	t	160
0:24:03	16.01.2019		161
0:23:56	20.01.2019		162
0:22:44	23.01.2019		163
0:24:10	25.01.2019		164
0:19:55	26.01.2019	t	165
0:20:37	29.01.2019	t	166
0:23:07	30.01.2019		167
0:23:17	06.02.2019		168
0:24:41	10.02.2019		169
0:25:14	13.02.2019		170
0:24:59	15.02.2019		171
0:24:13	17.02.2019		172
0:23:06	20.02.2019		173
0:27:24	21.02.2019		174
0:27:03	24.02.2019		175
0:22:53	27.02.2019		176
0:26:02	28.02.2019		177
0:22:10	06.03.2019	t	178
0:21:38	07.03.2019	t	179
0:25:21	09.03.2019		180
0:23:22	13.03.2019		181
0:24:36	16.03.2019		182
0:25:27	17.03.2019		183
0:23:33	20.03.2019		184
0:22:59	26.03.2019		185
0:22:53	27.03.2019		186
0:24:32	30.03.2019		187
0:22:24	03.04.2019		188
0:24:26	09.04.2019		189
0:22:43	10.04.2019		190
0:22:20	24.04.2019		191
0:24:44	27.04.2019		192
0:24:33	29.04.2019		193
0:22:39	01.05.2019		194
0:24:09	02.05.2019		195
0:22:06	05.05.2019		196
0:22:16	08.05.2019		197
0:27:03	11.05.2019		198
0:22:19	15.05.2019		199
0:24:39	17.05.2019		200
0:22:00	22.05.2019		201
0:26:10	02.06.2019		202
0:25:21	05.06.2019		203
0:25:37	07.06.2019		204
0:22:46	09.06.2019		205
0:24:19	10.06.2019		206
0:22:36	12.06.2019		207
0:23:54	14.06.2019		208
0:21:59	16.06.2019		209
0:21:45	19.06.2019		210
0:24:03	26.06.2019		211
0:24:27	27.06.2019		212
0:24:42	29.06.2019		213
0:24:33	30.06.2019		214
0:20:16	01.07.2019	t	215
0:21:37	03.07.2019		216
0:21:24	10.07.2019		217
0:24:27	13.07.2019		218
0:24:31	14.07.2019		219
0:21:15	17.07.2019		220
0:26:17	20.07.2019		221
0:26:08	21.07.2019		222
0:25:22	24.07.2019		223
0:25:36	25.07.2019		224
0:26:53	27.07.2019		225
0:27:38	29.07.2019		226
0:25:44	30.07.2019		227
0:24:56	04.08.2019		228
0:24:44	05.08.2019		229
0:23:46	07.08.2019		230
0:23:48	09.08.2019		231
0:24:28	10.08.2019		232
0:24:33	11.08.2019		233
0:22:50	14.08.2019		234
0:22:48	17.08.2019		235
0:22:37	19.08.2019		236
0:21:58	21.08.2019		237
0:23:46	24.08.2019		238
0:22:20	28.08.2019		239
0:22:55	30.08.2019		240
0:24:04	04.09.2019		241
0:23:45	06.09.2019		242
0:22:32	12.09.2019		243
0:19:51	17.09.2019	t	244
0:21:25	19.09.2019		245
0:22:41	21.09.2019		246
0:22:49	24.09.2019		247
0:21:55	25.09.2019		248
0:22:51	26.09.2019		249
0:21:55	02.10.2019		250
0:22:51	03.10.2019		251
0:24:46	04.10.2019		252
0:23:23	06.10.2019		253
0:21:52	09.10.2019		254
0:23:54	10.10.2019		255
0:24:56	13.10.2019		256
0:21:49	16.10.2019		257
0:21:54	23.10.2019		258
0:21:49	24.10.2019		259
0:24:48	25.10.2019		260
0:22:20	30.10.2019		261
0:21:54	31.10.2019		262
0:24:06	01.11.2019		263
0:23:58	02.11.2019		264
0:22:32	03.11.2019		265
0:21:34	04.11.2019		266
0:21:49	05.11.2019		267
0:20:57	06.11.2019		268
0:23:42	08.11.2019		269
0:23:45	09.11.2019		270
0:21:30	11.11.2019		271
0:21:35	13.11.2019		272
0:22:10	14.11.2019		273
0:22:55	18.11.2019		274
0:21:38	21.11.2019		275
0:19:44	22.11.2019	t	276
0:21:35	23.11.2019	s	277
0:23:37	27.11.2019		278
0:24:30	29.11.2019		279
0:22:38	05.12.2019		280
0:24:33	15.12.2019		281
0:23:06	16.12.2019		282
0:22:14	17.12.2019		283
0:21:59	18.12.2019		284
0:24:32	23.12.2019		285
0:24:06	27.12.2019		286
0:23:39	28.12.2019		287
0:23:55	31.12.2019		288
0:22:20	02.01.2020		289
0:22:07	03.01.2020		290
0:23:54	05.01.2020		291
0:24:31	10.01.2020		292
0:23:45	11.01.2020		293
0:21:49	13.01.2020		294
0:24:35	14.01.2020		295
0:23:44	17.01.2020		296
0:22:48	20.01.2020		297
0:21:48	22.01.2020		298
0:21:26	27.01.2020		299
0:23:43	28.01.2020		300
0:21:54	29.01.2020		301
0:24:17	30.01.2020		302
0:24:25	04.02.2020		303
0:24:38	06.02.2020		304
0:21:49	07.02.2020		305
0:22:43	17.02.2020		306
0:22:49	19.02.2020		307
0:21:29	20.02.2020		308
0:21:37	21.02.2020		309
0:23:31	25.02.2020		310
0:21:30	26.02.2020		311
0:23:18	02.03.2020		312
0:22:35	03.03.2020		313
0:21:47	05.03.2020		314
0:23:28	11.03.2020		315
0:23:46	16.03.2020		316
0:22:42	19.03.2020		317
0:24:36	24.03.2020		318
0:24:23	25.03.2020		319
0:23:41	26.03.2020		320
0:23:57	27.03.2020		321
0:24:51	29.03.2020		322
0:23:54	30.03.2020		323
0:24:21	31.03.2020		324
0:23:03	02.04.2020		325
0:23:30	06.04.2020		326
0:22:34	07.04.2020		327
0:24:01	08.04.2020		328
0:22:56	09.04.2020		329
0:24:22	12.04.2020		330
0:22:39	13.04.2020		331
0:24:19	14.04.2020		332
0:24:11	21.04.2020		333
0:24:10	22.04.2020		334
0:22:07	23.04.2020		335
0:21:58	25.04.2020	s	336
0:24:24	26.04.2020		337
0:22:43	12.05.2020		338
0:23:32	16.05.2020		339
0:22:26	18.05.2020		340
0:22:56	23.05.2020		341
0:22:43	26.05.2020		342
0:24:26	29.05.2020		343
0:23:02	08.06.2020		344
0:21:48	09.06.2020		345
0:24:25	13.06.2020		346
0:23:27	15.06.2020		347
0:24:43	19.06.2020		348
0:23:05	23.06.2020		349
0:24:06	25.06.2020		350
0:24:20	28.06.2020		351
0:23:33	29.06.2020		352
0:23:57	02.07.2020		353
0:22:32	06.07.2020		354
0:22:26	08.07.2020		355
0:21:54	15.07.2020		356
0:24:40	17.07.2020		357
0:26:03	20.07.2020		358
0:26:59	23.07.2020		359
0:27:39	27.07.2020		360
0:27:40	30.07.2020		361
0:24:03	05.08.2020		362
0:24:20	06.08.2020		363
0:22:38	10.08.2020		364
0:22:39	11.08.2020		365
0:24:19	17.08.2020		366
0:22:48	19.08.2020		367
0:22:29	21.08.2020		368
0:23:11	23.08.2020		369
0:22:16	24.08.2020		370
0:22:40	25.08.2020		371
0:24:00	26.08.2020		372
0:23:28	30.08.2020		373
0:23:22	03.09.2020		374
0:21:42	10.09.2020		375
0:22:05	30.09.2020		376
0:22:29	01.10.2020		377
0:22:11	02.10.2020		378
0:23:53	06.10.2020		379
0:21:58	08.10.2020		380
0:21:30	09.10.2020		381
0:22:15	16.10.2020		382
0:22:35	19.10.2020		383
0:22:20	20.10.2020		384
0:22:31	22.10.2020		385
0:23:12	23.10.2020		386
0:21:46	27.10.2020		387
0:24:46	01.11.2020		388
0:22:32	07.11.2020		389
0:23:57	08.11.2020		390
0:21:59	14.11.2020		391
0:23:51	17.11.2020		392
0:22:32	20.11.2020		393
0:21:33	23.11.2020		394
0:22:24	01.12.2020		395
0:24:46	05.12.2020		396
0:23:24	06.12.2020		397
0:23:50	08.12.2020		398
0:24:14	10.12.2020		399
0:24:05	14.12.2020		400
0:23:49	19.12.2020		401
0:23:31	21.12.2020		402
0:24:47	23.12.2020		403
0:24:10	24.12.2020		404
0:24:35	26.12.2020		405
0:22:59	27.12.2020		406
0:24:19	31.12.2020		407
0:22:08	08.01.2021		408
0:23:58	09.01.2021		409
0:24:42	21.01.2021		410
0:21:49	14.01.2021		411
0:23:17	15.01.2021		412
0:23:59	21.01.2021		413
0:22:40	22.01.2021		414
0:24:31	28.01.2021		415
0:24:20	06.02.2021		416
0:22:26	09.02.2021		417
0:24:18	10.02.2021		418
0:23:30	11.02.2021		419
0:24:00	13.02.2021		420
0:21:39	18.02.2021		421
0:24:16	23.02.2021		422
0:24:34	03.03.2021		423
0:23:59	04.03.2021		424
0:21:13	16.03.2021		425
0:21:24	17.03.2021		426
0:24:30	19.03.2021		427
0:23:50	23.03.2021		428
0:21:18	25.03.2021	s	429
0:21:57	27.03.2021	s	430
0:21:40	29.03.2021	s	431
0:24:58	03.04.2021		432
0:24:59	09.04.2021		433
0:23:59	11.04.2021		434
0:23:25	12.04.2021		435
0:24:00	14.04.2021		436
0:24:15	16.04.2021		437
0:24:10	19.04.2021		438
0:21:31	20.04.2021	s	439
0:21:57	21.04.2021	s	440
0:24:46	23.04.2021		441
0:21:37	27.04.2021	s	442
0:24:25	28.04.2021		443
0:21:56	30.04.2021	s	444
0:21:52	01.05.2021	s	445
0:24:40	05.05.2021		446
0:21:52	08.05.2021	s	447
0:24:32	21.05.2021		448
0:24:21	14.05.2021		449
0:24:38	15.05.2021		450
0:23:40	19.05.2021		451
0:21:40	21.05.2021	s	452
0:21:18	22.05.2021	s	453
0:21:50	24.05.2021	s	454
0:21:43	29.05.2021	s	455
0:21:54	01.06.2021	s	456
0:22:10	02.06.2021		457
0:21:02	04.06.2021	s	458
0:23:45	08.06.2021		459
0:23:50	11.06.2021		460
0:24:00	14.06.2021		461
0:21:24	15.06.2021	s	462
0:24:15	16.06.2021		463
0:21:57	20.06.2021	s	464
0:24:15	21.06.2021		465
0:22:20	23.06.2021		466
0:21:01	25.06.2021		467
0:24:24	01.07.2021		468
0:28:45	04.07.2021		469
0:28:35	05.07.2021		470
0:29:05	06.07.2021		471
0:28:14	08.07.2021		472
0:28:40	09.07.2021		473
0:27:40	10.07.2021		474
0:31:45	11.07.2021		475
0:29:15	13.07.2021		476
0:29:50	15.07.2021		477
0:29:50	16.07.2021		478
0:23:55	21.07.2021		479
0:24:40	23.07.2021		480
0:26:55	27.07.2021		481
0:24:55	02.08.2021		482
0:25:45	03.08.2021		483
0:24:25	09.08.2021		484
0:23:13	11.08.2021		485
0:23:44	20.08.2021		486
0:23:50	22.08.2021		487
0:22:56	23.08.2021		488
0:23:30	25.08.2021		489
0:21:58	28.08.2021	s	490
0:22:56	29.08.2021	s	491
0:24:10	31.08.2021		492
0:23:45	01.09.2021		493
0:21:55	03.09.2021	s	494
0:24:57	04.09.2021		495
0:21:52	06.09.2021		496
0:23:55	10.09.2021		497
0:21:35	11.09.2021	s	498
0:25:50	14.09.2021		499
0:28:40	15.09.2021		500
0:24:00	21.09.2021		501
0:23:20	24.09.2021		502
0:21:50	25.09.2021	s	503
0:24:35	28.09.2021		504
0:24:52	30.09.2021		505
0:24:23	01.10.2021		506
0:21:39	04.10.2021	s	507
0:21:23	06.10.2021		508
0:24:45	07.10.2021		509
0:24:50	08.10.2021		510
0:23:35	13.10.2021		511
0:22:50	14.10.2021		512
0:26:00	16.10.2021		513
0:26:00	17.10.2021		514
0:26:00	18.10.2021		515
0:26:00	19.10.2021		516
0:26:00	21.10.2021		517
0:26:00	22.10.2021		518
0:24:30	27.10.2021		519
0:24:23	28.10.2021		520
0:26:20	29.10.2021		521
